fecha hora var lev value
2023-03-24 03:00:00 temp 925 295.5136
2023-03-24 03:00:00 temp 900 293.6747
2023-03-24 03:00:00 temp 850 291.4316
2023-03-24 03:00:00 temp 800 288.4565
2023-03-24 03:00:00 temp 750 285.9293
2023-03-24 03:00:00 temp 700 283.3752
2023-03-24 03:00:00 temp 650 280.1953
2023-03-24 03:00:00 temp 600 276.8111
2023-03-24 03:00:00 temp 550 273.2761
2023-03-24 03:00:00 temp 500 268.3721
2023-03-24 03:00:00 temp 450 263.2352
2023-03-24 03:00:00 temp 400 257.7321
2023-03-24 03:00:00 temp 350 250.9953
2023-03-24 03:00:00 temp 300 242.6784
2023-03-24 03:00:00 temp 250 232.0498
2023-03-24 03:00:00 temp 200 218.7249
2023-03-24 03:00:00 temp 150 203.0066
2023-03-24 03:00:00 temp 100 194.0531
2023-03-24 03:00:00 temp 50 205.8777
2023-03-24 04:00:00 temp 1020 289.3907
2023-03-24 04:00:00 temp 1000 288.5198
2023-03-24 04:00:00 temp 950 297.4664
2023-03-24 04:00:00 temp 925 295.3756
2023-03-24 04:00:00 temp 900 293.5481
2023-03-24 04:00:00 temp 850 291.3138
2023-03-24 04:00:00 temp 800 288.4243
2023-03-24 04:00:00 temp 750 285.7259
2023-03-24 04:00:00 temp 700 283.2468
2023-03-24 04:00:00 temp 650 280.2576
2023-03-24 04:00:00 temp 600 276.4122
2023-03-24 04:00:00 temp 550 272.8035
2023-03-24 04:00:00 temp 500 268.0789
2023-03-24 04:00:00 temp 450 263.1598
2023-03-24 04:00:00 temp 400 257.7736
2023-03-24 04:00:00 temp 350 251.0627
2023-03-24 04:00:00 temp 300 242.6554
2023-03-24 04:00:00 temp 250 231.9849
2023-03-24 04:00:00 temp 200 218.7054
2023-03-24 04:00:00 temp 150 203.0167
2023-03-24 04:00:00 temp 100 193.9087
2023-03-24 04:00:00 temp 50 206.337
2023-03-24 05:00:00 temp 1020 289.3448
2023-03-24 05:00:00 temp 1000 288.4719
2023-03-24 05:00:00 temp 950 297.3355
2023-03-24 05:00:00 temp 925 295.3362
2023-03-24 05:00:00 temp 900 293.6714
2023-03-24 05:00:00 temp 850 291.443
2023-03-24 05:00:00 temp 800 288.5445
2023-03-24 05:00:00 temp 750 285.8217
2023-03-24 05:00:00 temp 700 283.2655
2023-03-24 05:00:00 temp 650 280.4621
2023-03-24 05:00:00 temp 600 276.4454
2023-03-24 05:00:00 temp 550 272.3015
2023-03-24 05:00:00 temp 500 267.6281
2023-03-24 05:00:00 temp 450 263.04
2023-03-24 05:00:00 temp 400 257.7466
2023-03-24 05:00:00 temp 350 250.9752
2023-03-24 05:00:00 temp 300 242.5443
2023-03-24 05:00:00 temp 250 231.9116
2023-03-24 05:00:00 temp 200 218.7235
2023-03-24 05:00:00 temp 150 202.956
2023-03-24 05:00:00 temp 100 194.0129
2023-03-24 05:00:00 temp 50 206.6351
2023-03-24 06:00:00 temp 1020 289.2782
2023-03-24 06:00:00 temp 1000 291.1574
2023-03-24 06:00:00 temp 950 297.2437
2023-03-24 06:00:00 temp 925 295.323
2023-03-24 06:00:00 temp 900 293.7604
2023-03-24 06:00:00 temp 850 291.4569
2023-03-24 06:00:00 temp 800 288.3508
2023-03-24 06:00:00 temp 750 285.5525
2023-03-24 06:00:00 temp 700 283.0655
2023-03-24 06:00:00 temp 650 280.5656
2023-03-24 06:00:00 temp 600 276.3762
2023-03-24 06:00:00 temp 550 271.4698
2023-03-24 06:00:00 temp 500 266.9271
2023-03-24 06:00:00 temp 450 262.7494
2023-03-24 06:00:00 temp 400 257.564
2023-03-24 06:00:00 temp 350 250.8034
2023-03-24 06:00:00 temp 300 242.4458
2023-03-24 06:00:00 temp 250 231.8659
2023-03-24 06:00:00 temp 200 218.69
2023-03-24 06:00:00 temp 150 202.8038
2023-03-24 06:00:00 temp 100 194.144
2023-03-24 06:00:00 temp 50 207.1817
2023-03-24 07:00:00 temp 1020 289.2416
2023-03-24 07:00:00 temp 1000 291.5349
2023-03-24 07:00:00 temp 950 297.1516
2023-03-24 07:00:00 temp 925 295.3005
2023-03-24 07:00:00 temp 900 293.7692
2023-03-24 07:00:00 temp 850 291.4082
2023-03-24 07:00:00 temp 800 288.2046
2023-03-24 07:00:00 temp 750 285.3177
2023-03-24 07:00:00 temp 700 282.807
2023-03-24 07:00:00 temp 650 280.2373
2023-03-24 07:00:00 temp 600 276.065
2023-03-24 07:00:00 temp 550 271.0895
2023-03-24 07:00:00 temp 500 266.8431
2023-03-24 07:00:00 temp 450 262.6274
2023-03-24 07:00:00 temp 400 257.4861
2023-03-24 07:00:00 temp 350 250.7489
2023-03-24 07:00:00 temp 300 242.5257
2023-03-24 07:00:00 temp 250 231.9644
2023-03-24 07:00:00 temp 200 218.7433
2023-03-24 07:00:00 temp 150 202.7239
2023-03-24 07:00:00 temp 100 194.0978
2023-03-24 07:00:00 temp 50 207.6204
2023-03-24 08:00:00 temp 1020 289.2079
2023-03-24 08:00:00 temp 1000 291.9365
2023-03-24 08:00:00 temp 950 297.0628
2023-03-24 08:00:00 temp 925 295.2608
2023-03-24 08:00:00 temp 900 293.6904
2023-03-24 08:00:00 temp 850 291.3545
2023-03-24 08:00:00 temp 800 288.2065
2023-03-24 08:00:00 temp 750 285.3796
2023-03-24 08:00:00 temp 700 282.8282
2023-03-24 08:00:00 temp 650 280.1864
2023-03-24 08:00:00 temp 600 275.8644
2023-03-24 08:00:00 temp 550 271.0841
2023-03-24 08:00:00 temp 500 266.7831
2023-03-24 08:00:00 temp 450 262.4483
2023-03-24 08:00:00 temp 400 257.3129
2023-03-24 08:00:00 temp 350 250.6331
2023-03-24 08:00:00 temp 300 242.5571
2023-03-24 08:00:00 temp 250 232.0395
2023-03-24 08:00:00 temp 200 218.6682
2023-03-24 08:00:00 temp 150 202.9275
2023-03-24 08:00:00 temp 100 193.3574
2023-03-24 08:00:00 temp 50 207.4733
2023-03-24 09:00:00 temp 1020 289.1845
2023-03-24 09:00:00 temp 1000 292.1405
2023-03-24 09:00:00 temp 950 296.9636
2023-03-24 09:00:00 temp 925 295.1819
2023-03-24 09:00:00 temp 900 293.4478
2023-03-24 09:00:00 temp 850 291.1189
2023-03-24 09:00:00 temp 800 288.2489
2023-03-24 09:00:00 temp 750 285.5226
2023-03-24 09:00:00 temp 700 282.8273
2023-03-24 09:00:00 temp 650 279.9677
2023-03-24 09:00:00 temp 600 275.9515
2023-03-24 09:00:00 temp 550 271.1896
2023-03-24 09:00:00 temp 500 266.7118
2023-03-24 09:00:00 temp 450 262.328
2023-03-24 09:00:00 temp 400 257.1644
2023-03-24 09:00:00 temp 350 250.544
